Country name,year,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Regional indicator
Kuwait,2023,7.13,10.812,0.89,70.0,0.898,0.136,0.7710869565217391,Middle East and North Africa
Kyrgyzstan,2022,5.668,8.555,0.927,67.375,0.948,0.23,0.876,Commonwealth of Independent States
Kyrgyzstan,2023,5.91,8.573,0.946,67.9,0.943,0.145,0.899,Commonwealth of Independent States
Laos,2022,4.962,8.981,0.659,61.4,0.891,0.091,0.706,Southeast Asia
Laos,2023,5.486,9.005,0.678,61.7,0.904,0.099,0.724,Southeast Asia
Latvia,2022,6.055,10.396,0.928,66.5,0.817,0.018,0.844,Central and Eastern Europe
Latvia,2023,6.296,10.408,0.932,66.6,0.816,0.059,0.8,Central and Eastern Europe
Lebanon,2022,2.352,9.458,0.535,66.225,0.45,-0.13,0.883,Middle East and North Africa
Lebanon,2023,3.588,9.471,0.686,66.3,0.499,-0.102,0.895,Middle East and North Africa
Lesotho,2022,3.186,7.733,0.68,46.15,0.709,-0.102,0.815,Sub-Saharan Africa
Liberia,2022,4.042,7.287,0.597,56.7,0.732,0.15,0.828,Sub-Saharan Africa
Liberia,2023,4.494,7.309,0.63,57.3,0.72,0.039,0.834,Sub-Saharan Africa
Libya,2022,5.76,9.893,0.813,65.875,0.761,-0.043,0.668,Middle East and North Africa
Libya,2023,5.97,9.935666666666668,0.748,66.1,0.762,-0.029703703703703704,0.644,Middle East and North Africa
Lithuania,2022,7.038,10.586,0.937,67.75,0.71,-0.192,0.685,Central and Eastern Europe
Lithuania,2023,6.553,10.575,0.881,68.1,0.734,-0.232,0.751,Central and Eastern Europe
Luxembourg,2022,7.228,11.657,0.878,71.675,0.915,0.023,0.345,Western Europe
Luxembourg,2023,7.016,11.649,0.879,71.7,0.911,0.033,0.343,Western Europe
Madagascar,2022,4.019,7.315,0.642,58.05,0.523,0.07,0.74,Sub-Saharan Africa
Madagascar,2023,4.433,7.333,0.692,58.3,0.504,0.096,0.784,Sub-Saharan Africa
Malawi,2022,3.356,7.291,0.503,58.75,0.744,0.017,0.755,Sub-Saharan Africa
Malawi,2023,3.272,7.279,0.47,59.3,0.738,0.014,0.745,Sub-Saharan Africa
Malaysia,2022,6.048,10.251,0.815,65.625,0.957,0.208,0.789,Southeast Asia
Malaysia,2023,5.868,10.283,0.779,65.6,0.965,0.154,0.754,Southeast Asia
Mali,2022,4.211,7.665,0.642,55.8,0.818,-0.024,0.746,Sub-Saharan Africa
Mali,2023,4.37,7.673,0.641,56.2,0.776,-0.043,0.79,Sub-Saharan Africa
Malta,2022,6.299,10.784,0.932,71.65,0.838,0.246,0.758,Western Europe
Malta,2023,6.295,10.911078947368422,0.912,71.7,0.851,0.08907894736842105,0.78,Western Europe
Mauritania,2022,4.724,8.602,0.648,60.475,0.624,-0.016,0.657,Sub-Saharan Africa
Mauritania,2023,4.292,8.62,0.606,60.7,0.54,0.018,0.669,Sub-Saharan Africa
Mauritius,2022,5.741,10.034,0.887,63.825,0.798,-0.042,0.769,Sub-Saharan Africa
Mauritius,2023,5.759,10.083,0.868,63.8,0.797,-0.002,0.769,Sub-Saharan Africa
Mexico,2022,7.038,9.881,0.858,65.8,0.861,-0.123,0.78,Latin America and Caribbean
Mexico,2023,7.006,9.9,0.868,65.8,0.87,-0.124,0.756,Latin America and Caribbean
Moldova,2022,5.687,9.465,0.817,65.7,0.829,-0.084,0.885,Commonwealth of Independent States
Moldova,2023,5.801,9.492,0.842,66.1,0.844,-0.157,0.86,Commonwealth of Independent States
Mongolia,2022,5.788,9.397,0.951,60.6,0.717,0.211,0.847,East Asia
Mongolia,2023,5.58,9.433,0.938,60.7,0.699,0.22,0.871,East Asia
Montenegro,2022,5.6,10.002,0.875,67.3,0.778,-0.022,0.802,Central and Eastern Europe
Montenegro,2023,5.813,10.041,0.853,67.4,0.799,-0.066,0.706,Central and Eastern Europe
Morocco,2022,4.596,8.995,0.564,64.0,0.795,-0.257,0.802,Middle East and North Africa
Morocco,2023,4.487,9.009,0.5,64.1,0.821,-0.094,0.831,Middle East and North Africa
Mozambique,2022,4.74,7.125,0.711,51.75,0.884,0.043,0.688,Sub-Saharan Africa
Mozambique,2023,5.704,7.147,0.701,52.2,0.867,0.071,0.678,Sub-Saharan Africa
Myanmar,2022,4.359,8.325,0.746,61.875,0.646,0.6,0.729,Southeast Asia
Myanmar,2023,4.391,8.347,0.685,62.2,0.695,0.548,0.686,Southeast Asia
Namibia,2022,4.949,9.158,0.808,57.225,0.683,-0.124,0.849,Sub-Saharan Africa
Namibia,2023,5.055,9.167,0.852,57.6,0.674,-0.113,0.873,Sub-Saharan Africa
Nepal,2022,5.474,8.294,0.753,62.125,0.844,0.149,0.76,South Asia
Nepal,2023,5.389,8.318,0.749,62.4,0.765,0.184,0.792,South Asia
Netherlands,2022,7.39,10.978,0.929,71.625,0.868,0.223,0.459,Western Europe
Netherlands,2023,7.255,10.977,0.915,71.7,0.847,0.223,0.424,Western Europe
New Zealand,2022,6.975,10.712,0.956,70.425,0.831,0.183,0.281,North America and ANZ
New Zealand,2023,6.976,10.72,0.933,70.5,0.877,0.181,0.304,North America and ANZ
Nicaragua,2022,6.392,8.669,0.844,65.725,0.914,-0.004,0.57,Latin America and Caribbean
Nicaragua,2023,6.362,8.685,0.836,65.8,0.906,-0.008,0.532,Latin America and Caribbean
Niger,2022,4.501,7.151,0.587,56.55,0.793,0.024,0.74,Sub-Saharan Africa
Niger,2023,4.609,7.181,0.638,56.9,0.767,0.029,0.7821515151515152,Sub-Saharan Africa
Nigeria,2022,5.294,8.51,0.785,55.375,0.776,0.172,0.935,Sub-Saharan Africa
Nigeria,2023,4.869,8.514,0.781,55.7,0.72,0.209,0.877,Sub-Saharan Africa
North Macedonia,2022,5.167,9.749,0.85,66.7,0.723,0.068,0.937,Central and Eastern Europe
North Macedonia,2023,5.403,9.776,0.883,66.9,0.738,0.123,0.917,Central and Eastern Europe
Norway,2022,7.295,11.119,0.927,71.55,0.939,0.182,0.314,Western Europe
Norway,2023,7.249,11.125,0.952,71.6,0.938,0.219,0.245,Western Europe
Pakistan,2022,4.931,8.604,0.59,57.725,0.745,0.0,0.865,South Asia
Pakistan,2023,4.549,8.588,0.553,58.0,0.661,0.07,0.889,South Asia
Panama,2022,5.979,10.412,0.891,69.0,0.899,-0.128,0.887,Latin America and Caribbean
Panama,2023,6.543,10.455,0.887,69.1,0.852,-0.147,0.871,Latin America and Caribbean
Paraguay,2022,6.138,9.513,0.899,65.95,0.922,-0.014,0.839,Latin America and Caribbean
Paraguay,2023,6.214,9.549,0.889,66.0,0.902,-0.004,0.835,Latin America and Caribbean
Peru,2022,5.892,9.453,0.823,70.025,0.764,-0.18,0.884,Latin America and Caribbean
Peru,2023,5.936,9.459,0.787,70.2,0.757,-0.061,0.919,Latin America and Caribbean
Philippines,2022,5.995,9.057,0.819,62.075,0.952,-0.155,0.757,Southeast Asia
Philippines,2023,6.184,9.102,0.796,62.1,0.932,-0.038,0.768,Southeast Asia
Poland,2022,6.666,10.513,0.886,69.225,0.8,-0.209,0.667,Central and Eastern Europe
Poland,2023,6.685,10.527,0.89,69.4,0.775,-0.232,0.662,Central and Eastern Europe
